cause_of_loss,avg_loss_percentage
Losses In Marine Shipments,55.0
Rejected Because It Does Not Meet European Import Criteria,50.0
"Over-Ripeness, Rotting Or Excessive Bruising, Inappropriate Postharvest Practices Of Middlemen",50.0
Literacy And Technology Exposure: 60 -90 % Of Producers Did Not Pre-Cool Produce After Harvest.  Used Vehicles Or Head Loads To Convey Produce To Market. Producers Had No Storage Facilities ; Marketers Preferred The Use Of Polythene Materials For Packaging.,50.0
Measured In May; Due To Fruit Flies,50.0
"Rejected Fruits Could Be Immature, Over Ripe, Bruised Or Fly Infested, With A Low Chance Of Commercializationthey'Re Also Picked And Then Sorted For Marketability, An Un Measured Percent Also Stays In The Fsc As Animal Feed",50.0
Trimming &Collection,47.5
Storage Cassava Chips,45.0
Higher Losses In July Due To Fruit Flies,43.5
Chemicals Repening Agents,43.0
Not Harvested,43.0
Begum Et Al. (2012) Found 0.51 Kg/Quintal Grain Losses Of Wheat During The Threshing  Activity. They Concluded That Threshing Losses Were Mainly In The Form Of Broken Grains. They  Observed 2.35 Kg/Quintal Post-Harvest Losses At Farm Level. The Harvesting Losses Have Added Up To  About 40.85 Per Cent.,40.85
"Krishi Bazar Store Oranges In Cemented Floor On Plastics, Straw Bed, Doko, Crates, And Sacks And On Plant Leaves Bed    Storage Losses Were Evaluated In Two Ways. In  One Way, Survey Was Performed In Krishi Bazar  And In Other; Simulation Of Storage Condition Was  Done In Room. During Survey, No Cold Storage  Facility Was Reported. The Dealers In Krishi Bazar  Store Oranges In Cemented Floor On Plastics, Straw  Bed, Doko, Crates, And Sacks And On Plant Leaves  Bed. The Oranges Do Not Remain There For Long  Time. Only Storage For 2 To 4 Days Was Observed.  During This Time, Losses Upto 5% Was Reported By  Dealers. This Loss Was Due To Evaporation Loss,  Rottening, Breakage, Etc.For The Assessment Of  Post Harvest Storage Losses In Room Condition,  Oranges Were Evaluated According To The Following  Categories:  A. Oranges Without Shrinkage Or Diseases And  Disorders.  B. Oranges Without Pathological Diseases.  C. Oranges Without Disorders Or Evaporative Loss.  In Every Case, Losses Were Evaluated After Having  Divided Oranges Visually. The Results Obtained Are  Shown In The Figure 1. They Represent The  Average Of Some Measurements Carried Out In  December To January 2012 In Storage. The Total  Loss During Storage For 21 Days Was Found To Be  40.1%.",40.1
"Poor Handling, Very Bad Roads Lack Of Training Only Large Growers Had Access To Markets",40.0
Physiological And Mechanical Damage; Quality,40.0
Large Sacks,38.0
Trimming Before Pre-Cooling Caused Losses,37.5
Lack Of Diversified Uses Of Tomatoes Is One Main Source Of Postharvest Losses.,35.0
"Rough Handling, Unprotected Storage Conditions, And Poor Transportation",35.0
"Poor Harvesting Methods, Lack Of Training, Poor Packaging, Lack Of Proper Storage Facilities And Marketing",35.0
Fruit Rot,35.0
Pressing Against Each Other Therefore Causing Mechanical Damage,34.23333333333333
"The Results Of The Milling Analysis Have Been Presented In  Table 6. The Results Showed That Sb30 Had Marginally  Higher Milling Yield (67.32%) Than Sb10 (66%).  However, The Differences Between The Milling Yields Of  Either The Sb30 Machine And The Locally Manufactured  Milling Machine Or That Of The Sb10 Machine And The  Locally Manufactured Milling Machine Were Significant.  The Locally Manufactured Milling Machine Had The Lowest  Milling Yield (63.33%). This Implies That The Locally  Manufactured Milling Machine Was Less Efficient As It Also  Resulted In Higher Percentage (52.7%) Of Broken Grains  (Table 6). This Implies That The Local Machine Produced  Less White Rice Per Unit Weight Of Paddy. This Resulted In  Less Recoverable Rice And Therefore Less Revenue. Sb30 Is Therefore Superior To Both Sb10 And The Local Machine In  Terms Of Milling Yield. In Spite Of The Higher Milling Yield Of  Sb30, It Is Still Lower Than The 67.5% (2010 Data)  Considered To The Lowest On Record In The Usa (Robinson,  2010). According To The Author, This Could Lead To A Shift  To Selling More Broken Grains, Consequently Mean Lower  Prices. Norman And Otoo (2003) Recommended That  Improved Dehulling And Whitening Machines Should Be  Developed And Tested For Use In Rice Processing",32.855
Disease And Rot,32.7
Market Glut And Spoilage,32.0
Disease,32.0
High Humidity,31.25
Due To Poor Quality No Use Of Maturity Indices Lack Of Knowledge Issues With Access To Credit,30.0
"Rotting, Sprouting, Weight Loss",29.9775
Insect Damage - Large Grain Borer,29.55
Dry/Wet Seasons,29.5
"Rotting, Cut Potatoes And Green Potatoes",27.675
Decay Due To High Temperature,27.625
"Weevil Damage, Mould Contamination, Breakage  (Quantitative And Qualitative Loss)",26.8
Poor Handling,26.416666666666668
"Damage During  Harvesting Or  Handling;  Unacceptable  Size, Shape And  Appearance;  Diseases In The  Fields Are The  Main Reasons.",25.0
Energy Consumption And Abscission,25.0
"Field To Krishi Bazar    The Oranges Were Found To Be Transported From Field To  Krishi Bazar In Mini Trucks Or Tractors Or Doko (A Basket  Made Of Bamboo) Covering With Plant Leaves For  Cushioning. The Dealers In Krishi Bazar Reported That  Each Day They Receive 4 To 5 Trucks Of Oranges Having 15  To 25 Quintals From Different Areas. From The Survey, The  Losses In Transportation Of Mandarins From Field To Krishi  Bazar Was Observed To Be Around 25% From All Areas And  From Krishi Bazar To Consuming Markets/ Terminal  Markets Was Negligible (About 1%). The Main Nature Of  Transportation Losses Were Reported To Be Damage,  Bursting, Peeling, Shrinkage, Etc.",25.0
"Disease, Poor Harvesting",25.0
"The Vast Majority Of Mango Farmers Interviewed (98%) Sold All Their Produce To  Middlemen/Brokers At The Farm-Gate With Only 2 Percent Selling Some Of The Produce To Markets  Outside Embu District. Usually, No Collective Bargaining Takes Place On The Price Because Each  Farmer Interacts Individually With Traders (Brokers) And As A Result, Traders Take Advantage Of  Farmers By Colluding To Buy Mangoes At Prices Lower Than The Prevailing Market Prices. This  Exploitative Tendency By Buyers Who Offer Very Low Prices Was Mentioned By 94 Percent Of Farmers  As The Major Marketing Challenge Followed By Delayed Purchase After Harvest (64%). This Occurs  When Brokers Instruct Farmers To Harvest The Mangoes Promising To Pick Them Up The Next Day But   41  Then Intentionally Delay To Do So. They Then Persuade Farmers To Sell Their Produce At Lower Prices  To Avoid Additional Spoilage And Loss Given That Mangoes Are Highly Perishable. On-Farm Sorting,  Grading And Bulking Of Mango Fruit Is A Common Practice And Is Usually Done By Traders (Brokers)  Before Buying Them. They Bring Their Own Workers To The Farm To Harvest The Fruit Or By Giving A  Purchasing Future Date Thus Advising Farmers On When To Harvest. In Both Cases, The Buyer Meets The  Labour Costs Involved. After Sorting, Damaged Mangoes Are Rejected By Buyers And Farmers Usually  Have To Find Alternative Use Or Ways To Dispose The Fruits. Those Rejected Because Of Fruit Fly  Infestation Are Buried In A Deep Hole.  The Lack Of Good Storage Facilities At The Farm Level Was Also A Major Challenge That Compelled  54 Percent Of Farmers To Sell Their Mangoes On The Day Of Harvesting. Others (46%) Kept Them Under A  Makeshift Shed To Minimize Sunburn, Loss Of Moisture And Accumulation Of Dust For A Few Days As  They Waited To Sell. In Addition, Most Access Roads To Farms Are Passable Only During The Dry Seasons  Of The Year But If There Are Heavy Rains During The Harvesting Period, Accessibility Is Impeded Thus  Contributing To Post-Harvest Losses And A Deterioration Of Quality Leading To Low Selling Prices. When  Farmers Were Asked To Rank The Attributes That Buyers Considered As The Most Important When  Selecting Mangoes For Purchase, 96 Percent Ranked Fruit Size First, Followed Closely By Quality (92%),  Colour As A Maturity Indicator (80%) And Mango Variety (42%). These Results Reveal The Importance  Of Quality As A Key Attribute Of Marketable Fruit. It Is A Compound Attribute That Refers To The Lack Of  External Or Internal Damage Or Injury Caused By Insect Pests, Diseases, Birds Or Mechanical Damage.",25.0
