commodity,avg_loss_percentage
"Snails, Fresh, Chilled, Frozen, Dried, Salted Or In Brine, Except Sea Snails",50.0
Grapefruit Juice,41.89054761904762
"Meat Of Pig With The Bone, Fresh Or Chilled",40.91
Orange Juice,40.30001
Pineapple Juice,40.016635
Canned Mushrooms,34.0
"Broad Beans And Horse Beans, Green",30.0
Plantains And Cooking Bananas,28.272222222222222
"Other Legumes, For Forage",26.7
Apple Juice,26.6667
"Meat Of Sheep, Fresh Or Chilled",25.134615384615383
"Sweet Corn, Frozen",25.125
Other Pome Fruits,23.0
Wine,22.7
Leeks And Other Alliaceous Vegetables,22.693809523809524
"Swedes, For Forage",20.0
Grape Juice,18.886355000000002
"Sweet Corn, Prepared Or Preserved",17.733333333333334
Green Garlic,17.098048780487805
Olives,16.571538461538463
Oranges,15.20320895522388
Watermelons,15.10939393939394
"Plums, Dried",15.1
Juice Of Lemon,15.0
Juice Of Citrus Fruit N.E.C.,15.0
Raisins,15.0
Sugar And Syrups N.E.C.,14.5
Quinoa,14.041818181818183
"Other Fruits, N.E.C.",13.534787234042552
Pineapples,13.435925925925925
Spinach,13.383846153846154
"Pumpkins, Squash And Gourds",13.225365853658538
Mixed Grain,13.087241379310344
Cantaloupes And Other Melons,12.847962962962962
Tomatoes,12.80019362745098
Plantains And Others,12.65764705882353
Carrots And Turnips,12.406147540983607
Cattle,12.333333333333334
Eggplants (Aubergines),12.184430379746836
"Other Vegetables, Fresh N.E.C.",11.730952380952381
Plums And Sloes,11.51690909090909
Avocados,11.490617283950618
Cherries,11.385
Cabbages,11.185357142857143
Lettuce And Chicory,11.14438202247191
Cauliflowers And Broccoli,10.937870967741935
Papayas,10.85476724137931
"Edible Roots And Tubers With High Starch Or Inulin Content, N.E.C., Fresh",10.808
Okra,10.74448275862069
"Onions And Shallots, Dry (Excluding Dehydrated)",10.685476190476189
Apricots,10.633103448275863
Asparagus,10.606764705882354
"Vegetable Products, Fresh Or Dry N.E.C.",10.5
Figs,10.485999999999999
Bananas,10.373566433566435
Taro,10.331428571428571
Sweet Potatoes,10.234871794871793
Apples,10.223037974683544
"Cattle Fat, Unrendered",10.175999999999998
"Other Fruits, N.E.",10.032499999999999
"Mangoes, Guavas, Mangosteens",10.009166666666667
"Pig Meat, Cuts, Salted, Dried Or Smoked (Bacon And Ham)",10.0
Quinces,9.9975
"Coconuts, In Shell",9.898163265306122
Artichokes,9.766666666666667
Cucumbers And Gherkins,9.707032967032967
"Onions And Shallots, Green",9.39114503816794
"Mangoes, Guavas And Mangosteens",9.259665505226481
Strawberries,9.257397260273972
"Coffee, Decaffeinated Or Roasted",9.0
"Cassava, Fresh",8.977787610619469
"Edible Roots And Tubers With High Starch Or Inulin Content, N.E., Fresh",8.806363636363637
Kiwi Fruit,8.69108108108108
"Tangerines, Mandarins, Clementines",8.6062
"Pig, Butcher Fat",8.532
"Chillies And Peppers, Green (Capsicum Spp. And Pimenta Spp.)",8.522380952380953
"Chillies And Peppers, Green (<I>Capsicum</I> Spp. And <I>Pimenta</I> Spp.)",8.4
"Pepper (<I>Piper</I> Spp.), Raw",8.225217391304348
Tapioca Of Cassava,8.193333333333333
Yams,8.107962962962963
Potatoes,7.9470686119873815
Pears,7.942967032967032
Cocoa Beans,7.761428571428572
"Cow Peas, Dry",7.734742268041237
Other Cereals N.E.,7.572222222222223
Dates,7.528571428571429
"Broad Beans And Horse Beans, Dry",7.425
Raspberries,7.25
Peaches And Nectarines,7.153090909090909
"Meat Of Pig, Fresh Or Chilled",7.142666666666667
Yautia,7.061599999999999
"Cassava, Dry",6.743913043478261
Blueberries,6.7281818181818185
Grapes,6.659579439252337
Green Corn (Maize),6.464137931034483
Lemons And Limes,6.3743103448275855
"Meat Of Cattle, Fresh Or Chilled",6.33
"Lentils, Dry",6.325555555555556
"Other Tropical And Subtropical Fruits, N.E.C.",6.32377358490566
"Sunflower-Seed Oil, Crude",6.31875
Other Stone Fruits,6.2
Other Berries And Fruits Of The Genus Vaccinium N.E.,6.141249999999999
"Beans, Dry",6.10705298013245
"Other Beans, Green",6.091944444444445
Butter Of Cow Milk,5.986
"Peas, Green",5.8506451612903225
Mushrooms And Truffles,5.816829268292683
Persimmons,5.7
Dairy Products N.E.C.,5.694
