country,avg_loss_percentage
Australia And New Zealand,44.0
Haiti,39.5
Gabon,35.0
Oman,35.0
Saint Kitts And Nevis,30.0
Africa,30.0
Italy,25.425
Bahrain,25.0
Algeria,25.0
Trinidad And Tobago,22.944444444444443
Jamaica,21.227333333333334
Peru,21.083655913978497
Australia,18.40232558139535
Mexico,16.73688333333333
Democratic People'S Republic Of Korea,16.315
Saint Lucia,16.3
Brazil,15.058823529411764
Syrian Arab Republic,15.0
Central Asia,14.8
Western Asia,14.8
Northern Africa,14.8
Latin America And The Caribbean,14.4
Republic Of Korea,13.695249999999998
Afghanistan,13.451379310344826
Southern Asia,13.2
South-Eastern Asia,13.2
Lao People'S Democratic Republic,12.933333333333332
Guyana,12.5
United States Of America,11.932774284033142
Paraguay,11.75
Palestine,11.625
Nepal,11.365779816513761
Finland,11.328448275862069
Sweden,11.319999999999999
Saudi Arabia,10.547222222222222
Guatemala,10.541666666666666
Sri Lanka,10.009158878504673
Armenia,9.565448717948717
Nicaragua,9.468695652173913
Colombia,8.974
Egypt,8.857218045112782
Cambodia,8.686792452830188
Northern America,8.6
Norway,8.454375
Costa Rica,8.4
New Zealand,8.133333333333333
Pakistan,8.034285714285714
Viet Nam,8.010769230769231
Honduras,7.958571428571429
Luxembourg,7.8175
Philippines,7.794858823529411
Jordan,7.7230952380952385
Tajikistan,7.706666666666667
Indonesia,7.616467889908257
Sub-Saharan Africa,7.595833333333334
Asia,7.5
Venezuela (Bolivarian Republic Of),6.936369230769231
Bangladesh,6.88538524590164
Denmark,6.873644859813084
Iran (Islamic Republic Of),6.7443333333333335
Chile,6.666666666666667
El Salvador,6.6
Myanmar,6.358461538461539
Belgium,6.23
Ukraine,6.202598039215686
Fiji,6.192083333333334
United Kingdom Of Great Britain And Northern Ireland,6.171317829457364
Tunisia,6.066666666666666
Turkey,5.926923076923076
Morocco,5.751276595744681
Ghana,5.6944861689106485
Canada,5.68503164556962
Austria,5.645147540983607
Malaysia,5.6
Cuba,5.5892
Kazakhstan,5.2972
China,5.113463636363636
Panama,5.086963788300836
Thailand,5.024285714285715
United Republic Of Tanzania,4.8284441067323485
Benin,4.680158401759531
Lebanon,4.525
Nigeria,4.498471382905983
Ecuador,4.130358585858586
Liberia,4.047463937219731
Kenya,4.0440770149042145
Poland,3.958815789473684
Rwanda,3.9567905845896147
Azerbaijan,3.95
Cameroon,3.886301841498559
Timor-Leste,3.772727272727273
Western Africa,3.75
Europe,3.65
Portugal,3.6183333333333336
Togo,3.544406523364486
Israel,3.4899999999999998
Kyrgyzstan,3.425
World,3.416551724137931
Georgia,3.3769117647058824
Lithuania,3.3566265060240967
France,3.331491228070176
Ireland,3.2505263157894735
India,3.205813400576369
South Sudan,3.1872159090909093
Sierra Leone,3.180577015923567
Mali,3.165061946058733
Sudan,3.1550585815602834
Burundi,3.123368260869565
South Africa,3.0996792260692465
Lesotho,3.0861337009345795
Guinea,3.0849029594272075
Eswatini,3.0696529032258066
Eritrea,3.051822582795699
Côte D'Ivoire,3.0515298568019094
Madagascar,3.043890288209607
Zimbabwe,3.0256480569105695
Chad,3.006970380038388
Croatia,3.0
Niger,2.98763411
Bolivia (Plurinational State Of),2.980952380952381
Uganda,2.9693133140732266
Mauritania,2.9674454545454547
Ethiopia,2.961497197068999
Malawi,2.9600238613157894
Slovakia,2.9545454545454546
Guinea-Bissau,2.928968506616257
Japan,2.9179591836734695
Gambia,2.8870025330812856
Mozambique,2.7815753226890756
Democratic Republic Of The Congo,2.7588596674584323
Somalia,2.7005798396464646
Burkina Faso,2.6470253571121254
Zambia,2.584713337254902
Angola,2.5196407176308537
Senegal,2.504587751668892
Botswana,2.481712523923445
Germany,2.47232044198895
Mauritius,2.4346666666666668
Romania,2.3737142857142857
The Former Yugoslav Republic Of Macedonia,2.1995238095238094
Namibia,2.192619346590909
"Taiwan, Province Of China",2.0
Spain,1.9433333333333334
Russian Federation,1.9091304347826088
Netherlands,1.5769354838709677
Hungary,1.428612099644128
Estonia,1.281590909090909
Switzerland,1.1440232558139534
New Caledonia,1.1333333333333335
Serbia,1.066521739130435
Greece,1.0
Mongolia,0.929
"China,Taiwan",0.78
Uzbekistan,0.7216666666666667
United Kingdom,0.6627083333333333
Argentina,0.6126315789473684
Latvia,0.5522222222222222
Belarus,0.02125
