region,avg_loss_percentage
Tibet and Bangladesh,50.0
Ashanti Region of Ghana,50.0
Parakou (Borgou),46.75
Jimma,40.0
"Kathmandu from Kapurkot, Salyan (western hills) and Lal Bandi, Sarlahi (Terai)",35.0
Brong - Ahafo region (highly productive zone),35.0
Marpha to Pokhara,35.0
"Upper Athi River Region; Kilala, Ikanganya,  Kikumbulyu, Kikoko, Nguumo, Kiou, Wote, Kee, Mbiuni, Mwala and Mwani.",35.0
Sharkia and Nubaria,34.666666666666664
"Chalinze, Lugoba and Kiwangwa",33.333333333333336
"Ixcan, Polochic and El Peten region",31.25
"Milly and Allfruits are based in Coast Province, while Kevian and Sunny are based in Central Kenya near Thika",30.25
Kariakoo Central Market,30.2
Brong-Ahafo Region,30.0
Tabora,29.55
Yaoundé,29.454545454545453
Kilosa and Kondoa Districts,28.35
"Volta region, Northern region, Brong-Ahafo.",27.95
Nairobi,27.6
Selva and Coast Region,25.0
Northern region,24.288
"Birgunj, Nepal to Patna",24.14
Chiriqui,24.0
Syangja (mid hills) to Butwal (markets in the plains),23.0
Jumla,22.5
Dhankuta District,22.03333333333333
Northern Areas,20.689999999999998
West Java,20.124117647058824
"Bhairahwa, Nepal to Gorakhpur, India",19.563333333333333
Lofa,18.82857142857143
"Bolgatanga Municipal, Kassena Nankana Municipal and Kassena Nankana West",17.1425
Rangpur,16.666666666666668
"Tafilalet, Draa",16.5
Midelt,16.5
Rangpur and Dinazpur district,16.412777777777777
"Ait Baamrane, Rhamna",16.0
Kumasi and its environments (including Ejura) and Tamale,15.783333333333333
Nyandarua,15.6
"Qalqilya and Tulkarem, West Bank",15.333333333333334
Sargodha,15.0
Nubaria,15.0
Niamey,15.0
Plateau,14.875
Junin and Ayacucho,14.5
Boyo,14.5
Namingongo,14.45
"North Hwanghae, South Pyongan and Pongyang City",14.162121212121212
Shandong Province,14.09
Saiss,14.0
"four main potatogrowing counties in Kenya, namely Bomet and Nakuru Counties in the Rift Valley area, Nyandarua County in Central Kenya and Meru County in Eastern Kenya",13.95
"Daxing, Tongxian, and Yanqing",13.181818181818182
North Patagonia Region,13.0
Benue,13.0
"Lower Eastern region (Makueni, Kitui and Machakos counties",13.0
Bihar,12.735
Eastern Himalayan,12.25
"Benue, Plateau and Taraba regions",12.0
"Kiboko, Embu and Homa Bay",11.83
Jharkhand,11.73
Hot district of Chiang Mai  province,11.63
Eastern Ghana,11.3
Morogoro,11.283333333333333
Apac District,11.233333333333334
"Mindanao, Philippines",11.1
Addis Ababa and Adama cities,11.0
Grand Bassa,10.785714285714286
Bong,10.642857142857142
Lowland Tropical Zone,10.566666666666666
El Carchi,10.465
Kintampo,10.25
from Jumla,10.0
Jumla to Nepalgunj.,10.0
Teraemini,9.85
New Valley,9.71
Beni Suef (Middle Egypt),9.605
Uttar Pradesh,9.403333333333334
West Bank and Gaza Strip,9.4
Zulu,9.375
Dodoma and Manyara,9.369130434782608
Maharashtra,9.343636363636364
Moistmid Altitude Zone,9.2
Bani Suef,9.17
"grown in Tupi, South Cotabato, in Mindanao, and distributed in various supermarkets in Metro Manila",9.15
Assam,9.14
Punjab,9.125
Cixi county,9.0625
"Rivers State A(Degema, Bonny, Port Harcourt); B(tai, omuma, oyigboo); C(ahoada West, Emohua)",9.0
Odisha,8.886666666666667
Fiji Export Market,8.833333333333334
Mombasa,8.700000000000001
Tedla,8.7
Dhaka and Mymensingh,8.625
Madhya Pardesh,8.61
"Orani, Bataan",8.6
Taraba,8.4
Dakahlia (Lower Egypt),8.26375
Mkuyuni ward in Morogoro region,8.2
"Baneshar Bazar assesmble market of Rajshahi district. In contrast, the losses were lower in the surveyed markets of Chapai Nowabgonj,",8.175
Madhya Pradesh,8.09375
Kumasi & tamale.,8.0
Fujian Province,7.85625
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",7.6875
Highland Tropical Zone,7.625
Taounate,7.5
Andhra Pradesh,7.378
Siliana,7.3
Calabarzon,7.253
Manica and Zambezia Provinces,7.199999999999999
Qena (Upper Egypt),7.073333333333333
Site: Kumasi & Tamale.,7.035
Jeldu districts of West Shewa Zone,7.03
Grand Gedeh,7.028571428571429
"Chapai Nowabgonj, Dhaka and Mymensingh",6.85
Montserrado,6.771428571428571
