food_supply_stage,avg_loss_percentage
Post-Harvest,19.75873684210526
Households,15.404844444444445
Retail,11.790693641618496
Export,10.8778
Food Services,10.133809523809523
Collector,9.9596875
Wholesale,8.370973063973064
Grading,8.227272727272727
Pre-Harvest,8.179166666666667
Trader,7.98994375
Whole Supply Chain,7.461181815068493
Packing,5.721891891891892
Processing,5.584259852216749
Distribution,5.403913043478261
Harvest,5.016727028432766
Market,3.7375903614457826
Storage,3.5634837064098304
Farm,2.8331918785296364
Stacking,2.1
Transport,1.725568564331843
