year,avg_loss_percentage
2000,4.179983743816855
2001,4.599387447171287
2002,4.610408818562829
2003,4.646707324387755
2004,4.086922057247934
2005,4.750554197739617
2006,3.7409708125610197
2007,3.9688710152607594
2008,5.252928644629899
2009,4.81727665739645
2010,5.780143226581254
2011,4.329470564426606
2012,4.306884949294606
2013,5.809194376262976
2014,3.863238062547221
2015,4.839289561171926
2016,4.256339952291139
2017,4.62581049310534
2018,4.812677208421818
2019,3.523880815857275
2020,3.2712418845644984
2021,3.0825617027512195
2022,2.7902721088435376
2023,10.225227272727274
2024,5.465833333333333
